condition,variant,swarm_seed,controller_seed,seed,obstacle_layout_seed,obstacle_center_permutation,scenario_id,wall_pairs,wall_count,wall_width,wall_extension,trigger_progress,activation_preview_clearance,activation_step,activation_progress,activation_reason,activation_clearance,block_step,success,failure_reason,reached_goal,collision,not_reaching,first_collision_step,collision_after_block,exposed_to_blocker,goal_reached_before_block,selected_mode_switches,last_selected_mode,final_dist,min_clearance_dynamic,min_clearance_after_block,path_length,path_length_after_block,control_effort,control_effort_after_block,control_smoothness,control_smoothness_after_block,steps,steps_after_block,runtime_sec,runtime_per_step_sec,goal_tolerance,error
dynamic_wall,corridor_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_1_2,1-2,1,0.4,0.2,0.25,0.75,13,0.25823043618536257,progress,3.5489114742173644,13,True,,True,False,False,,False,True,False,31,1,0.2653455523079751,0.2511782516377665,0.2511782516377665,12.248582913536632,9.30597843248806,164.92089868467767,118.00396276850097,20.31020853247824,19.54392853095788,76,63,0.6503190319999703,0.008556829368420662,0.3,
dynamic_wall,frenet_corridor_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_1_2,1-2,1,0.4,0.2,0.25,0.75,13,0.2604908986873564,progress,3.5198038233749847,13,True,,True,False,False,,False,True,False,37,8,0.2755384713223855,0.2490834426288775,0.2490834426288775,12.261303841265185,9.291136510782716,156.33657630274962,108.00697102557059,21.760883312801464,19.994927709782132,84,71,0.9270887470011075,0.011036770797632232,0.3,
dynamic_wall,heatmap_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_1_2,1-2,1,0.4,0.2,0.25,0.75,13,0.25823043618536257,progress,3.5489114742173644,13,True,,True,False,False,,False,True,False,31,1,0.2653455523079751,0.2511782516377665,0.2511782516377665,12.248582913536632,9.30597843248806,164.92089868467767,118.00396276850097,20.31020853247824,19.54392853095788,76,63,0.6359347300003719,0.008367562236846999,0.3,
dynamic_wall,control_bank_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_1_2,1-2,1,0.4,0.2,0.25,0.75,13,0.26226163774888156,progress,3.695752350663017,13,True,,True,False,False,,False,True,False,0,,0.3005255811739373,0.11587999535812676,0.11587999535812676,12.268112793146134,9.165195044986362,225.67023778947504,170.0581225418543,15.002302426564988,9.739663270928169,53,40,0.30776783600049384,0.0058069403018961106,0.3,
dynamic_wall,mode_selecting_homotopy_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_1_2,1-2,1,0.4,0.2,0.25,0.75,13,0.27165281233976857,progress,3.435506451415709,13,True,,True,False,False,,False,True,False,23,0,0.26547092498967856,0.2726407949114807,0.2726407949114807,12.312137601438515,9.214437713458397,208.3575287901037,155.16235708956617,22.104926170998176,20.060609352930758,58,45,0.5977774399998452,0.010306507586204229,0.3,
dynamic_wall,mode_selecting_corridor_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_1_2,1-2,1,0.4,0.2,0.25,0.75,13,0.27165281233976857,progress,3.435506451415709,13,True,,True,False,False,,False,True,False,23,0,0.26547092498967856,0.2726407949114807,0.2726407949114807,12.312137601438515,9.214437713458397,208.3575287901037,155.16235708956617,22.104926170998176,20.060609352930758,58,45,0.6047046849998878,0.010425942844825653,0.3,
dynamic_wall,standard_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_1_2,1-2,1,0.4,0.2,0.25,0.75,104,0.25129782245088883,progress,3.9585418978660516,104,False,not_reaching,False,False,True,,False,True,False,0,,6.780782829987003,0.021344994364235148,0.021344994364235148,4.803905038735203,1.8235303575362147,123.58106217115477,38.70149167898458,54.000633015792246,11.153592968981993,130,26,0.11751151600037701,0.0009039347384644386,0.3,
static_wall,full_swarm_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_1_2,1-2,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,43,1,0.29982917025982214,0.20525706404672378,0.20525706404672378,12.540932285859032,12.540932285859032,160.54671355152544,160.54671355152544,29.970356579038476,29.970356579038476,98,98,0.8652726319996873,0.00882931257142538,0.3,
static_wall,gaussian_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_1_2,1-2,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,43,1,0.29982917025982214,0.20525706404672378,0.20525706404672378,12.540932285859032,12.540932285859032,160.54671355152544,160.54671355152544,29.970356579038476,29.970356579038476,98,98,0.8554775259999587,0.008729362510203661,0.3,
static_wall,corridor_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_1_2,1-2,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,42,5,0.26304382467221754,0.19847804807615543,0.19847804807615543,12.806916916234847,12.806916916234847,182.48895910330842,182.48895910330842,33.682374167016825,33.682374167016825,96,96,0.845660378001412,0.008808962270848042,0.3,
